"","Country.x","Deaths...million","Deaths","Cases","iso3c","Country.y","Region.x","Population..000..2021.","Pop..density..per.km2..2021.","Capital.city","Capital.city.pop...000..2021.","UN.membership.date","Surface.area..km2.","Sex.ratio..m.per.100.f.","National.currency","Exchange.rate..per.US..","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2015.prices.","GDP.per.capita..current.US..","Agricultural.production.index..2014.2016.100.","International.trade..exports..million.current.US..","International.trade..imports..million.current.US..","International.trade..balance..million.current.US..","Balance.of.payments..current.account..million.US..","Urban.population....of.total.population.","Country..or.territory.","Region.y","Hospital.beds.per.1.000.people.2013","Hospital.beds.per.1.000.people.2014","Hospital.beds.per.1.000.people.2015","Hospital.beds.per.1.000.people.2016","Hospital.beds.per.1.000.people.2017","Occupancy....","ICU.CCB.beds.100.000.inhabitants","Ventilators","Country","Obesity.rate....","Location","Vaccinated","Percent"
"26","Switzerland","1,608","14,055","4,413,452","CHE","Switzerland","Western Europe",8716,220.6,"Bern",426,"10-Sep-02","41291",98.5,"Swiss Franc (CHF)",0.9,731425,1.1,85135,97,"318415",290325,28090,28094,73.8,"Switzerland","Europe",4.68,4.58,4.58,4.55,4.53,82,11,NA,"Switzerland",19.5,"Switzerland","6,096,911",69.75
"27","Luxembourg","1,544","1,000","384,378","LUX","Luxembourg","Western Europe",635,245.1,"Luxembourg",119.8,"24-Oct-45","2586",102.4,"Euro (EUR)",0.8,71105,2.3,115480.9,111,"13442",20610,-7167,2999,91.2,"Luxembourg","Europe",5.17,5.05,4.93,4.81,4.66,70.7,24.8,NA,"Luxembourg",22.6,"Luxembourg","481,957",74.42
"28","Denmark","1,500","8,824","3,417,017","DNK","Denmark","Northern Europe",5813,137,"Copenhagen",1333.9,"24-Oct-45","42934",98.8,"Danish Krone (DKK)",6.1,350104,2.8,60656.9,101,"107224",96791,10433,26023,88,"Denmark","Europe",3.07,2.69,2.53,2.6,2.61,NA,6.7,NA,"Denmark",19.7,"Denmark","4,752,101",80.79
"29","Canada","1,385","53,260","4,712,542","CAN","Canada","Northern America",38068,4.2,"Ottawa",1378.2,"09-Nov-45","9984670",98.6,"Canadian Dollar (CAD)",1.3,1741497,1.9,46550.3,111,NA,NA,NA,-29722,81.5,"Canada","Americas",2.71,2.67,2.61,2.58,2.52,91.6,13.5,NA,"Canada",29.8,"Canada","34,763,194",90.4
"30","Israel","1,343","12,691","4,839,886","ISR","Israel","Western Asia",8790,406.2,"Jerusalemc",919.4,"11-May-49","22072",99.2,"New Israeli Sheqel (ILS)",3.2,395099,3.5,46376.5,95,"49761",70162,-20401,24350,92.5,"Israel","Asia",3.09,3.08,3.03,2.99,3.02,93.3,NA,"","Israel",26.1,"Israel","6,723,119",71.15
"31","Netherlands","1,308","22,986","8,618,815","NLD","Netherlands","Western Europe",17173,509.3,"Amsterdamc",1140.3,"10-Dec-45","41543",99.4,"Euro (EUR)",0.8,907051,1.7,53052.8,100,"551598",482764,68834,71062,91.9,"Netherlands","Europe",6.18,NA,6.52,6.44,6.32,55.4,8.4,NA,"Netherlands",20.4,"Netherlands","12,596,446",71.72
"32","Turkey","1,188","101,419","17,004,677","TUR","Turkey","Western Asia",85043,110.5,"Ankara",5018,"24-Oct-45","783562",97.5,"Turkish Lira (TRY)",7.4,761426,0.9,9126.6,111,"169658",219514,-49856,-37315,75.6,"Turkey","Asia",2.65,2.68,2.68,2.75,2.81,68,46.5," 17,000","Turkey",32.1,"Turkey","57,941,051",67.89
"33","Norway","1,049","5,705","1,489,076","NOR","Norway","Northern Europe",5466,15,"Oslo",1026.8,"27-Nov-45","323772",102.3,"Norwegian Krone (NOK)",8.5,403336,1.2,74985.5,102,"82665",81304,1361,7185,NA,"Norway","Europe",3.86,3.84,3.76,3.68,3.6,80.7,8," 800","Norway",23.1,"Norway","4,346,995",79.99
"34","Australia","883","23,129","11,608,166","AUS","Australia","Oceania",25788,3.4,"Canberra",452.5,"01-Nov-45","7692024",99.2,"Australian Dollar (AUD)",1.3,1380208,-0.3,54763.2,89,NA,NA,NA,33829,NA,"Australia","Oceania",3.74,3.79,3.82,3.84,3.84,NA,9.1," 1,314","Australia",29,"Australia","22,236,698",84.95
"35","South Korea","693","35,934","34,571,873","KOR","Republic of Korea","Eastern Asia",51305,527.7,"Seoul",9962.4,"17-Sep-91","100340",100.2,"South Korean Won (KRW)",1088,1646539,2,32143.1,100,"512710",467498,45212,75276,81.4,"South Korea","Asia",10.92,11.59,11.61,11.98,12.27,NA,10.6," 9,795","South Korea",4.7,"South Korea","44,784,499",86.43
"36","New Zealand","645","3,347","2,385,438","NZL","New Zealand","Oceania",4861,18.5,"Wellington",413,"24-Oct-45","268107",96.6,"New Zealand Dollar (NZD)",1.4,206936,1.5,43229.3,101,"38877",37098,1779,-1886,86.6,"New Zealand","Oceania",2.78,2.75,2.71,2.73,2.71,NA,4.6," 334","New Zealand",30.8,"New Zealand","4,301,605",82.96
"37","Japan","602","74,694","33,803,572","JPN","Japan","Eastern Asia",126051,345.8,"Tokyo",37435.2,"18-Dec-56","377930",95.4,"Yen (JPY)",103.6,5082466,0.7,40063.5,100,"641283",635402,5880,164497,91.7,"Japan","Asia",13.3,13.21,13.17,13.11,13.05,75.5,13.5," 45,293","Japan",4.3,"Japan","104,705,133",84.47
"38","Iceland","498","186","209,142","ISL","Iceland","Northern Europe",343,3.4,"Reykjavik",216.4,"19-Nov-46","103000",101,"Iceland Krona (ISK)",127.2,24188,1.9,71344.6,107,"4560",5671,-1111,244,93.9,"Iceland","Europe",3.22,3.16,3.12,3.13,3.06,NA,9.1,NA,"Iceland",21.9,"Iceland","309,770",84
"39","China","85","121,714","99,312,876","CHN","China","Eastern Asia",1444216,153.8,"Beijing",20035.5,"24-Oct-45","9600000",105.2,"Yuan Renminbi (CNY)",6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"China","Asia",3.31,3.57,3.82,4.05,4.34,NA,4.52," 145,000 (Invasive Ventilators) 98,000 (Non-Invasive Ventilators)","China",6.2,"China","1,310,292,000",91.89
